Date,N225.Close
11/10/2011,8500.799805
11/11/2011,8514.469727
11/14/2011,8603.700195
11/15/2011,8541.929688
11/16/2011,8463.160156
11/17/2011,8479.629883
11/18/2011,8374.910156
11/21/2011,8348.269531
11/22/2011,8314.740234
11/24/2011,8165.180176
11/25/2011,8160.009766
11/28/2011,8287.490234
11/29/2011,8477.820313
11/30/2011,8434.610352
12/1/2011,8597.379883
12/2/2011,8643.75
12/5/2011,8695.980469
12/6/2011,8575.160156
12/7/2011,8722.169922
12/8/2011,8664.580078
12/9/2011,8536.459961
12/12/2011,8653.820313
12/13/2011,8552.80957
12/14/2011,8519.129883
12/15/2011,8377.370117
12/16/2011,8401.719727
12/19/2011,8296.120117
12/20/2011,8336.480469
12/21/2011,8459.980469
12/22/2011,8395.160156
12/26/2011,8479.339844
12/27/2011,8440.55957
12/28/2011,8423.620117
12/29/2011,8398.889648
12/30/2011,8455.349609
1/4/2012,8560.110352
1/5/2012,8488.709961
1/6/2012,8390.349609
1/10/2012,8422.259766
1/11/2012,8447.879883
1/12/2012,8385.589844
1/13/2012,8500.019531
1/16/2012,8378.360352
1/17/2012,8466.400391
1/18/2012,8550.580078
1/19/2012,8639.679688
1/20/2012,8766.360352
1/23/2012,8765.900391
1/24/2012,8785.330078
1/25/2012,8883.69043
1/26/2012,8849.469727
1/27/2012,8841.219727
1/30/2012,8793.049805
1/31/2012,8802.509766
2/1/2012,8809.790039
2/2/2012,8876.820313
2/3/2012,8831.929688
2/6/2012,8929.200195
2/7/2012,8917.519531
2/8/2012,9015.589844
2/9/2012,9002.240234
2/10/2012,8947.169922
2/13/2012,8999.179688
2/14/2012,9052.070313
2/15/2012,9260.339844
2/16/2012,9238.099609
2/17/2012,9384.169922
2/20/2012,9485.089844
2/21/2012,9463.019531
2/22/2012,9554
2/23/2012,9595.570313
2/24/2012,9647.379883
2/27/2012,9633.929688
2/28/2012,9722.519531
2/29/2012,9723.240234
3/1/2012,9707.370117
3/2/2012,9777.030273
3/5/2012,9698.589844
3/6/2012,9637.629883
3/7/2012,9576.05957
3/8/2012,9768.959961
3/9/2012,9929.740234
3/12/2012,9889.860352
3/13/2012,9899.080078
3/14/2012,10050.51953
3/15/2012,10123.28027
3/16/2012,10129.83008
3/19/2012,10141.99023
3/21/2012,10086.49023
3/22/2012,10127.08008
3/23/2012,10011.46973
3/26/2012,10018.24023
3/27/2012,10255.15039
3/28/2012,10182.57031
3/29/2012,10114.79004
3/30/2012,10083.55957
4/2/2012,10109.87012
4/3/2012,10050.38965
4/4/2012,9819.990234
4/5/2012,9767.610352
4/6/2012,9688.450195
4/9/2012,9546.259766
4/10/2012,9538.019531
4/11/2012,9458.740234
4/12/2012,9524.790039
4/13/2012,9637.990234
4/16/2012,9470.639648
4/17/2012,9464.709961
4/18/2012,9667.259766
4/19/2012,9588.379883
4/20/2012,9561.360352
4/23/2012,9542.169922
4/24/2012,9468.040039
4/25/2012,9561.009766
4/26/2012,9561.830078
4/27/2012,9520.889648
5/1/2012,9350.950195
5/2/2012,9380.25
5/7/2012,9119.139648
5/8/2012,9181.650391
5/9/2012,9045.05957
5/10/2012,9009.650391
5/11/2012,8953.30957
5/14/2012,8973.839844
5/15/2012,8900.740234
5/16/2012,8801.169922
5/17/2012,8876.589844
5/18/2012,8611.30957
5/21/2012,8633.889648
5/22/2012,8729.290039
5/23/2012,8556.599609
5/24/2012,8563.379883
5/25/2012,8580.389648
5/28/2012,8593.150391
5/29/2012,8657.080078
5/30/2012,8633.19043
5/31/2012,8542.730469
6/1/2012,8440.25
6/4/2012,8295.629883
6/5/2012,8382
6/6/2012,8533.530273
6/7/2012,8639.719727
6/8/2012,8459.259766
6/11/2012,8624.900391
6/12/2012,8536.719727
6/13/2012,8587.839844
6/14/2012,8568.889648
6/15/2012,8569.320313
6/18/2012,8721.019531
6/19/2012,8655.870117
6/20/2012,8752.30957
6/21/2012,8824.070313
6/22/2012,8798.349609
6/25/2012,8734.620117
6/26/2012,8663.990234
6/27/2012,8730.490234
6/28/2012,8874.110352
6/29/2012,9006.780273
7/2/2012,9003.480469
7/3/2012,9066.589844
7/4/2012,9104.169922
7/5/2012,9079.799805
7/6/2012,9020.75
7/9/2012,8896.879883
7/10/2012,8857.730469
7/11/2012,8851
7/12/2012,8720.009766
7/13/2012,8724.120117
7/17/2012,8755
7/18/2012,8726.740234
7/19/2012,8795.549805
7/20/2012,8669.870117
7/23/2012,8508.320313
7/24/2012,8488.089844
7/25/2012,8365.900391
7/26/2012,8443.099609
7/27/2012,8566.639648
7/30/2012,8635.44043
7/31/2012,8695.05957
8/1/2012,8641.849609
8/2/2012,8653.179688
8/3/2012,8555.110352
8/6/2012,8726.290039
8/7/2012,8803.30957
8/8/2012,8881.160156
8/9/2012,8978.599609
8/10/2012,8891.44043
8/13/2012,8885.150391
8/14/2012,8929.879883
8/15/2012,8925.040039
8/16/2012,9092.759766
8/17/2012,9162.5
8/20/2012,9171.160156
8/21/2012,9156.919922
8/22/2012,9131.740234
8/23/2012,9178.120117
8/24/2012,9070.759766
8/27/2012,9085.389648
8/28/2012,9033.290039
8/29/2012,9069.80957
8/30/2012,8983.780273
8/31/2012,8839.910156
9/3/2012,8783.889648
9/4/2012,8775.509766
9/5/2012,8679.820313
9/6/2012,8680.570313
9/7/2012,8871.650391
9/10/2012,8869.370117
9/11/2012,8807.379883
9/12/2012,8959.959961
9/13/2012,8995.150391
9/14/2012,9159.389648
9/18/2012,9123.769531
9/19/2012,9232.209961
9/20/2012,9086.980469
9/21/2012,9110
9/24/2012,9069.290039
9/25/2012,9091.540039
9/26/2012,8906.700195
9/27/2012,8949.870117
9/28/2012,8870.160156
10/1/2012,8796.509766
10/2/2012,8786.049805
10/3/2012,8746.870117
10/4/2012,8824.589844
10/5/2012,8863.299805
10/9/2012,8769.589844
10/10/2012,8596.230469
10/11/2012,8546.780273
10/12/2012,8534.120117
10/15/2012,8577.929688
10/16/2012,8701.30957
10/17/2012,8806.549805
10/18/2012,8982.860352
10/19/2012,9002.679688
10/22/2012,9010.709961
10/23/2012,9014.25
10/24/2012,8954.299805
10/25/2012,9055.200195
10/26/2012,8933.05957
10/29/2012,8929.339844
10/30/2012,8841.980469
10/31/2012,8928.290039
11/1/2012,8946.870117
11/2/2012,9051.219727
11/5/2012,9007.44043
11/6/2012,8975.150391
11/7/2012,8972.889648
11/8/2012,8837.150391
11/9/2012,8757.599609
11/12/2012,8676.44043
11/13/2012,8661.049805
11/14/2012,8664.730469
11/15/2012,8829.719727
11/16/2012,9024.160156
11/19/2012,9153.200195
11/20/2012,9142.639648
11/21/2012,9222.519531
11/22/2012,9366.799805
11/26/2012,9388.94043
11/27/2012,9423.299805
11/28/2012,9308.349609
11/29/2012,9400.879883
11/30/2012,9446.009766
12/3/2012,9458.179688
12/4/2012,9432.459961
12/5/2012,9468.839844
12/6/2012,9545.160156
12/7/2012,9527.389648
12/10/2012,9533.75
12/11/2012,9525.320313
12/12/2012,9581.459961
12/13/2012,9742.730469
12/14/2012,9737.55957
12/17/2012,9828.879883
12/18/2012,9923.009766
12/19/2012,10160.40039
12/20/2012,10039.33008
12/21/2012,9940.05957
12/25/2012,10080.12012
12/26/2012,10230.36035
12/27/2012,10322.98047
12/28/2012,10395.17969
1/4/2013,10688.11035
1/7/2013,10599.00977
1/8/2013,10508.05957
1/9/2013,10578.57031
1/10/2013,10652.63965
1/11/2013,10801.57031
1/15/2013,10879.08008
1/16/2013,10600.44043
1/17/2013,10609.63965
1/18/2013,10913.29981
1/21/2013,10747.74023
1/22/2013,10709.92969
1/23/2013,10486.99023
1/24/2013,10620.87012
1/25/2013,10926.65039
1/28/2013,10824.30957
1/29/2013,10866.71973
1/30/2013,11113.9502
1/31/2013,11138.66016
2/1/2013,11191.33984
2/4/2013,11260.34961
2/5/2013,11046.91992
2/6/2013,11463.75
2/7/2013,11357.07031
2/8/2013,11153.16016
2/12/2013,11369.12012
2/13/2013,11251.41016
2/14/2013,11307.28027
2/15/2013,11173.83008
2/18/2013,11407.87012
2/19/2013,11372.33984
2/20/2013,11468.28027
2/21/2013,11309.12988
2/22/2013,11385.94043
2/25/2013,11662.51953
2/26/2013,11398.80957
2/27/2013,11253.96973
2/28/2013,11559.36035
3/1/2013,11606.37988
3/4/2013,11652.29004
3/5/2013,11683.4502
3/6/2013,11932.26953
3/7/2013,11968.08008
3/8/2013,12283.62012
3/11/2013,12349.04981
3/12/2013,12314.80957
3/13/2013,12239.66016
3/14/2013,12381.19043
3/15/2013,12560.9502
3/18/2013,12220.62988
3/19/2013,12468.23047
3/21/2013,12635.69043
3/22/2013,12338.53027
3/25/2013,12546.45996
3/26/2013,12471.62012
3/27/2013,12493.79004
3/28/2013,12335.95996
3/29/2013,12397.91016
4/1/2013,12135.01953
4/2/2013,12003.42969
4/3/2013,12362.2002
4/4/2013,12634.54004
4/5/2013,12833.63965
4/8/2013,13192.58984
4/9/2013,13192.34961
4/10/2013,13288.12988
4/11/2013,13549.16016
4/12/2013,13485.13965
4/15/2013,13275.66016
4/16/2013,13221.44043
4/17/2013,13382.88965
4/18/2013,13220.07031
4/19/2013,13316.48047
4/22/2013,13568.37012
4/23/2013,13529.65039
4/24/2013,13843.45996
4/25/2013,13926.08008
4/26/2013,13884.12988
4/30/2013,13860.86035
5/1/2013,13799.34961
5/2/2013,13694.04004
5/7/2013,14180.24023
5/8/2013,14285.69043
5/9/2013,14191.48047
5/10/2013,14607.54004
5/13/2013,14782.20996
5/14/2013,14758.41992
